,task_id_number,task_id_string,best_see_description,best_grid_description,best_do_description,desc_num_builds,desc_num_successsful_builds
03a881df-2f03-48ee-8c9e-f13c6e459d0f,94,4258a5f9.json,"In the input, you should see...a black grid with a number of grey boxes",The output grid size...is the same as input,"To make the output, you have to...surround each of the grey boxes with a blue border",3,3
f5f97834-041e-4dfa-a45c-dc226e785d3b,95,4290ef0e.json,"In the input, you should see... various bright colors, shapes, and corners of various size","The output grid size... match the biggest square/corner. If you only see two corners, the output grid will always be a square for this.","To make the output, you have to... copy the background color and place all of the shapes in order of size within each other. Square will be in the center, box around that, then corners until all shapes fit exactly in the size of the grid. Keep all shapes their original color.",2,1
8a589367-f5c9-4c94-b5fb-8ad5e1931c57,96,42a50994.json,"In the input, you should see...a grid with colored pixels scattered. Some of the pixels are touching other pixels {on sides/or corners} while some are singletons, not touching any pixels",The output grid size...The output grid size does not change. It is the same as the input,"To make the output, you have to...copy the input grid, identify which pixels are connected or touching any other and change background colors of single pixels to the background color or black. Done",1,1
20048968-3571-4666-9d85-e1951462e88a,97,4347f46a.json,"In the input, you should see...colored rectangular shapes on a black background",The output grid size...is the same as the input grid size,"To make the output, you have to...replace all colored blocks inside the rectangular shapes with black so there is only a colored outline of the shapes",3,3
dd2cf990-fe85-4aa1-ae61-5cd719fc9f08,98,444801d8.json,"In the input, you should see...fill single complete grid","The output grid size...In the input, you should see...fill single complete grid","To make the output, you have to...In the input, you should see...fill single complete grid",3,1
b5f9d53c-68b0-4541-8ee9-266c4f0bb6d4,99,445eab21.json,"In the input, you should see...A grid with 2 square patterns",The output grid size...is 2x2,"To make the output, you have to...fill the entire 2x2 grid with the same color of the biggest square pattern that is in the original.",2,2
1a06e911-0f45-45cf-bd30-4388e4932386,100,447fd412.json,"In the input, you should see...a shape composed of pixels in the upper portion of the grid and other pixels lower in the grid",The output grid size... is the same as the input grid.,"To make the output, you have to...  First copy the input grid.  Look at the lone upper shape, add colored pixels to the pixels lower in the grid such that they are of the same shape and color, even if they have to be proportionally larger or smaller, than the shape in the upper part of the field.",2,0
d46adbf8-218a-40f1-83c7-c1ed74486e82,101,44d8ac46.json,"In the input, you should see...gray objects with the black area inside.",The output grid size...should be the same as the input,"To make the output, you have to...fill the black area within the gray with red if it is a square; otherwise, leave it alone.",1,1
c8a40bf6-9057-4f54-ad9a-71980c14792d,102,44f52bb0.json,"In the input, you should see...3x3 grid",The output grid size...1x1 grid,"To make the output, you have to...if input has 3 or 4 red tiles output is orange. if in put has 2, 5, or 6 red tiles output is blue.",1,1
106fe4f1-7acf-4e1b-9ab3-dc4fe1c84437,103,4522001f.json,"In the input, you should see...a 3x3 grid with a 2x2 green square in one corner with a red square",The output grid size... is 9x9,"To make the output, you have to...make grid 9x9. Note the diagonal that the red square is in in the input. The green square in the diagonal will indicate which corner in the output you should put a 4x4 green square in the output. The red square indicates which corner another 4x4 green square will touch it your new square in the output grid. So you will have two green 4x4 squares touching each other  corner to corner.",2,2
1df2a879-2c08-4849-9d85-f9a619680525,104,4612dd53.json,"In the input, you should see...A pattern with missing color in some squares",The output grid size...Copy the grid size,"To make the output, you have to...Fill in the black squares with red",3,2
3a15d7c6-0a0c-441d-96fe-c0905c0252a3,105,46442a0e.json,"In the input, you should see... A grid with colored pixels.","The output grid size...  Is twice as large as the input, so a 2x2 becomes 4x4 and a 3x3 becomes 6x6 and so on.","To make the output, you have to...  Create a grid twice the size of the input.  Divide the output grid into 4 quadrants.  Replicate the input grid pixels in the upper right quad.  In the upper left quad, place the input grid that's been rotated clockwise 90 degrees.  In the lower right quad, place the input grid colored pixels that has been rotated 180 degrees.  In the lower left quad place a copy of the input grid that's been rotated 90 degrees COUNTER-CLOCKWISE.  Done.",2,0
a8faa8ad-963f-4911-9d11-bae149c16fa8,106,469497ad.json,"In the input, you should see...a 5x5 grid with a 2x2 square of one color and the left and bottom edges filled with squares of various colors.",The output grid size... is determined by the number of colors in the input grid. The output grid should be the dimensions of the input grid multiplied by the number of colors.,"To make the output, you have to...taking the same input grid and blowing it up by the same factor you increased the grid size by. The square and the colored borders should increase in size or thickness by the same factor as you increased the grid. Finally you should go to each corner of the square and add a diagonal line of red squares that will radiate out from the corners until they reach a corner or one of the colored borders.",2,0
5c6a6d01-c672-40cf-b8c9-232ca3d76b2e,107,46f33fce.json,"In the input, you should see...Single and distinct colored squares across the grid.",The output grid size...double that of the input.,"To make the output, you have to...keep the squares in there same location based on the lower left corner. double there size, keep same color.",1,0
7a3e8f31-f70e-4a3b-9ef2-f68bb0bcd3bb,109,484b58aa.json,"In the input, you should see...a pattern with black blocks in some spaces",The output grid size...is the same,"To make the output, you have to...follow the pattern and fill in the black blocks so the whole grid is the patterns",1,0
9f8aab0b-6dc0-4b62-b504-e2d1ca03a6db,110,48d8fb45.json,"In the input, you should see... a same grid with different areas colored. One of those areas includes a grey square.",The output grid size... is 3x3 grid.,"To make the output, you have to... repeat the colored area that includes a grey square, but don't include the grey square.",1,1
fe8bea1c-d255-433e-8e7f-1c151b3b6a98,111,4938f0c2.json,"In the input, you should see...a design pattern",The output grid size... is similar,"To make the output, you have to...correlate the design until you have a pattern on all 4 corners of the cube",6,3
c734966d-485a-48d1-bd40-c39861f27f65,112,496994bd.json,"In the input, you should see... a black shape with two colored lines on one end",The output grid size... is the same as the input grid,"To make the output, you have to... copy the input grid and then mirror the colored lines on the other end of the grid.",7,7
7089490b-b2c6-43dc-9451-c6888113b661,113,49d1d64f.json,"In the input, you should see...the grid size. The input grid size is the center size for output grid.","The output grid size...should be input size with one more grid is 3x3 change into 5x5 , 2x2 change into 4x4 like 2x3 change into 4x5","To make the output, you have to...make input pattern as center for output and colors should be same. The adjacent colors are also same .  all four corner colors should be black",3,3
302487a6-47c2-466a-a162-6ffacb7d4197,114,4be741c5.json,"In the input, you should see...areas of 3 or 4 colors.","The output grid size...correspond with the vertical or horizontal orientation and the number of colors. For example, if there are 3 colors and they are separated horizontally, then the output would be a horizonal bar with 3 squares.","To make the output, you have to...Take the first color, vertically or horizontally, then fill that color in the corresponding square in the output. Then the second and third...",2,1
0ae00ce0-9e25-4190-9deb-88d306cba7ae,115,4c4377d9.json,"In the input, you should see...grid of 3x4 with 2 colors.",The output grid size...changes to 4x6,"To make the output, you have to...copy the pattern as you see it on the bottom half of the grid into 3x4.  Once done, flip the pattern up to the top half of the 3x4 grid.",3,3
708715e0-04ae-4ba1-abc2-9b5ca639b2e7,116,4c5c2cf0.json,"In the input, you should see...a colored x shape with another colored shape at one of its corners.",The output grid size...is the same as the input.,"To make the output, you have to...mirror the shape at the corner of the x to the other corners of the x so that the x is surrounded by the corner shape.",1,0
45d1242c-bc1a-4b63-a0bb-e4700cac30c7,117,50846271.json,"In the input, you should see... grey and red shapes on black field",The output grid size... same as the input field,"To make the output, you have to... imagine that each red shape is 5 cell wide line and 5 cell tall lines. Fill in each of the missing red cell of the shape with light blue to complete the 5x5 shapes.",4,2
5cc7297e-92ee-43b7-9b9c-bb11b01e373b,118,508bd3b6.json,"In the input, you should see...two to three red bars on either the top, bottom, left or right side and two to three light blue squares.",The output grid size...is the same.,"To make the output, you have to...you have to continue the direction the light blue squares are going until it reaches whatever the red spot it touches. Then it bounces off that spot and goes in that direction. Think of Pong. The line will always be diagonal, reach an edge of the grid and green except for the starting two or three spaces that are light blue.",4,3
5a94ae66-b182-4760-9448-ed5687b0f975,119,50cb2852.json,"In the input, you should see...colored areas",The output grid size...the same,"To make the output, you have to...color the inside of each colored area with light blue.  Leave the outside of the colored shapes the example color one cube deep all the way around.",4,3
f7e35f1a-37b8-4312-b925-4a1310b0fbcd,120,5117e062.json,"In the input, you should see...different shapes, one of which contain a light blue dot.",The output grid size...must match the size of the shape with the blue dot.,"To make the output, you have to...copy the shape with the light blue dot but replace the light blue dot with the shape color.",4,4
7284771d-a84c-4df6-b34c-44c8ad3a5319,121,5168d44c.json,"In the input, you should see...A green 'track' line with a red 3x3 block on top of one of the 'tracks'.",The output grid size...same as input,"To make the output, you have to...If the pattern is vertical, move the red 3x3 block down one 'track'. If the pattern is horizontal, move the red 3x3 block one 'track' to the right. In both instances, only the location of the red blocks should change",1,1
65e59320-faa7-40e7-8a3f-be8895c9ecd4,122,539a4f51.json,"In the input, you should see...A vertical/horizontal pattern in differing colors.",The output grid size...10x10,"To make the output, you have to...replicate the pattern in the input box and continue repeating until all the boxes in your 10x10 grid have a color in them (no black around the outside edge). You're making the exact pattern, but miniaturized and repeating. Depending upon input, your pattern will repeat 2-6 times.",1,1
30b5b243-86b8-4370-b680-c507adeeeb1f,123,53b68214.json,"In the input, you should see...a pattern on the black",The output grid size...10x10,"To make the output, you have to...copy the input pattern to the original place and then continue the pattern (using the same color) in the new added 4x10 area.",3,2
a2744b78-5a06-4841-a518-9af33b33286a,124,543a7ed5.json,"In the input, you should see...a light blue grid with pink boxes that may contain at least one open space.",The output grid size...is similar.,"To make the output, you have to...fill the inside of the pink boxes with yellow and outline each pink box with green.",3,3
30b7eb0b-cd3f-403f-a915-66eb452a2d12,125,54d82841.json,"In the input, you should see...one or two shapes with a piece out of the middle bottom.",The output grid size... remains the same.,"To make the output, you have to... add a yellow square at the bottom where if the shape or shapes fall they will land on the yellow square.",3,2
82287d70-87fa-4ee0-a1af-e7de26b18e0d,126,54d9e175.json,"In the input, you should see...33x3 squares with gray lines between them",The output grid size...is the same size as the input grid,"To make the output, you have to...replace all 3x3 squares with a specific color. The color to replace is below:Green to Light BlueBlue to PurpleYellow to Dark RedRed to Orange",2,2
ce0f0875-8207-4afb-ba9f-fa48f5f9aeaa,127,5521c0d9.json,"In the input, you should see...three colored objects.",The output grid size...is  the same.,"To make the output, you have to...decide how many rows the object has and move it up that same amount of rows.",1,1
3ca86814-54e4-4d94-b875-2824194bb34f,128,5582e5ca.json,"In the input, you should see... a three by three grid with many different colors",The output grid size... is the same as the input grid,"To make the output, you have to... determine which color is used the most in the input grid and make the entire grid that color",5,5
71d139ce-0d62-4c9a-a4df-ebbbc6c66f8a,129,5614dbcf.json,"In the input, you should see...a series of colored squares with random gray little squares included.",The output grid size...is reduced to 3x3 grid.,"To make the output, you have to...changed the colored squares in the input grid to a single square of the grid. So that an input grid 3x3 colored square is turned into a single filled square of the same color on the input grid. the same color",6,4
9dbc4e1d-3646-4898-a875-5b7844a314f7,130,56dc2b01.json,"In the input, you should see...a solid red line and a green pattern",The output grid size...does not change,"To make the output, you have to...move the green pattern against the red line, then add a blue line against the green pattern parallel with the red line",1,1
e3fd98c1-42c0-429b-ab20-4bfbce6faae9,131,56ff96f3.json,"In the input, you should see...one or more pairs of same colors",The output grid size...is the same as the input,"To make the output, you have to...take the colored as the starting and end point of the rectangle or square assume that the grid make rectangle or square",2,2
218ffde6-9254-4ab0-8018-df9f1da2fdb9,132,57aa92db.json,"In the input, you should see... 1 or 2 rectangular 2-color objects, and another 2-color object with a unique shape. All objects share one of their colors.",The output grid size... is the same as the input grid.,"To make the output, you have to... copy the input grid. Then, ""apply"" the unique object's shape to the rectangular shape. Use the color that all the objects have in common to figure out the size. If the unique object has 1 block of the shared color, and the rectangular object has a 2x2 block of the shared color, then you will have to double the size of the shape to ""fit"" it to the rectangular shape. Each shape should maintain its color scheme.",1,0
19936d8f-541b-40c0-8282-73288fb186ad,133,5ad4f10b.json,"In the input, you should see...black background with colored pattern and another color 2 single squares",The output grid size... Will be 3x3,"To make the output, you have to...take the color pattern and move to new grid with color 2. The output pattern will be a smaller than the input.",4,1
d79b83c2-3d39-4c31-ab68-7cc78cebce43,134,5bd6f4ac.json,"In the input, you should see... you should see a large grid with many colored blocks",The output grid size...becomes much smaller,"To make the output, you have to...you only want the top right corner - the top third and right third of the grid",2,2
c595a348-7992-42a4-b75e-9db6280869e7,135,5c0a986e.json,"In the input, you should see...two 2x2 boxes, one red and one blue",The output grid size...same as the input size,"To make the output, you have to...use the color blue to extend a 1x1 length of pixels northwest of the 2x2 blue box until there is no more room left. Then extend a 1x1 length of pixels southeast from the 2x2 red box until there is no more room left.",2,1
4174826a-26ef-4a95-856b-d92fac6fb0ae,136,5c2c9af4.json,"In the input, you should see... three dots of one color",The output grid size... copy and paste the input,"To make the output, you have to... use the two outer dots to form a square around the dot in the middle, then continue making squares surrounding the last square you created until you can not make any more (do not stop when you can not get an entire square inside the black background, even if you have enough room to make one line and the rest of the square would be outside of the black background then make that line). The amount of black space between each box should be the same width as the first square you created (so if the first box width of 2, make them all a width of 2)",2,1
e8434d00-b7ce-4cf0-a7d9-d34eb92aef4a,137,5daaa586.json,"In the input, you should see...four colored lines that form a square or rectangular shape.",The output grid size...is the size of this square created by the four lines,"To make the output, you have to...copy the inner square or rectangular shape to the input then fill in the middle from the color line that match the pixels already there, to the colored pixel. This can be up, down, left, or right, start from the colored edge and fill in to the pixel with the same color.",2,0
4e637cdc-0b54-4848-b1dc-4adaf9261e77,138,60b61512.json,"In the input, you should see... a grid containing a couple abstract shapes.",The output grid size... is the same as the input,"To make the output, you have to... keep the shapes in the same place, but fill the gaps in the shape with the color orange until they form squares",2,2
024f6d8a-79d9-47da-9a0c-11581429629e,139,6150a2bd.json,"In the input, you should see... a black grid with a colored shape",The output grid size... is the same as the input grid,"To make the output, you have to... rotate the whole grid two times. Imagine that the entire grid has been flipped vertically and horizontally.",1,1
bd009b25-490c-48ce-9742-41949b7e2c8c,140,623ea044.json,"In the input, you should see...one colored square on a black background",The output grid size...is the same as the input,"To make the output, you have to...add squares of the same color as the original square such that each added square extends diagonally in 4 directions from each corner of the original square until each line extending from the original square reaches a side or a corner of the grid. The diagonal lines will form an X pattern that may have one of more long arms or legs",1,1
051f7230-d71f-4f76-9f50-c15acc65ad0d,141,62c24649.json,"In the input, you should see... a 3x3 grid with red blue and green colors.",The output grid size...is 6x6,"To make the output, you have to...place the input grid in the top left 3x3. Then, reflect the top left 3x3 and place it in the top right 3x3. Now, reflect the top left and right 3x3 and place in the bottom left and right 3x3.",2,2
e8f85f91-418d-40fa-9387-522ffe33d16c,142,63613498.json,"In the input, you should see...many color patterns, different size and different shape",The output grid size...the same size,"To make the output, you have to...from the right column to left get the first pattern, if there is no same color pattern then change its color to grey, otherwise pass it and keep check on form right to left column.",1,0
8972789f-3b89-4dca-ac32-4313614ca51f,143,6430c8c4.json,"In the input, you should see...one 9x4 grid separated into two grids with a yellow set of horizontal boxes.","The output grid size...is the size of one of the two section, 4x4.","To make the output, you have to...put the two section over top of each other. Then you have to look at each block.  A block that does not have any of the pattern from the old blocks is colored green.  Any block that has pattern from either of the first blocks is colored black.",1,1
086d2ca9-3a14-4e12-88ae-a4ab380ea490,144,6455b5f5.json,"In the input, you should see... a number of red lines which create smaller black shapes",The output grid size... is the same as the input grid,"To make the output, you have to... fill the largest black shape with dark blue. Fill the smallest black shape with light blue. If there is more than one shape with the smallest number of squares, fill all of the smallest shapes with light blue.",3,3
01591400-d8e0-4398-80b8-4b5236e35721,145,662c240a.json,"In the input, you should see...a grid with green/red on top, a grid with grey/blue on top, a grid with light blue/yellow on top or a grid with dark red/light blue on top",The output grid size...the output is now 3x3,"To make the output, you have to...depending on which top you have you will make that 3x3 square. Green/red top, make over the blue/light blue 3x3 area. Grey/blue top, make the green/pink 3x3 area. Light blue/yellow on top, make the light blue/yellow 3x3 area. dark red/light blue top, make the yellow/green 3x3 area.",1,1
c527663f-7b21-44cd-adac-8d4205af1358,146,67385a82.json,"In the input, you should see... black background with green colored blocks",The output grid size... copy the input grid,"To make the output, you have to... any green colored blocks that are more than 2 connected blocks (1x2, 2x1, 2x2, or other shapes) should be changed to light blue.",3,2
82bb91b5-cf8a-4c8b-b9ba-bd535246abbe,147,673ef223.json,"In the input, you should see...two red base on each side with some light blue dots.",The output grid size...is the same as input grid.,"To make the output, you have to...copy the input grid and for the top red base, colored the blocks from red base to light blue block with light blue. Then change the top light blue block to yellow. For the bottom red side base, color the same color rows as the top with light blue to the full row",1,0
d7f408d8-fdbc-498b-aa3d-ee081fa85735,148,6773b310.json,"In the input, you should see...three 3x3 squares with type pink grid",The output grid size... 3x3 grid size,"To make the output, you have to...fill blue color where 3x3 grid have 2 pink grid",1,1
d39e5d73-1db1-4836-9cc0-03d61605607b,149,67a3c6ac.json,"In the input, you should see...a complex color pattern",The output grid size...stay the same as the input,"To make the output, you have to...create a left/ right mirror image of the input",2,2
8d0d8c61-1dd9-4338-9afe-1aa4efa9a796,150,67a423a3.json,"In the input, you should see... two intersecting lines of different colors",The output grid size... is identical to the input grid.,"To make the output, you have to... surround the middle point of the intersection with a 3x3 yellow border, leaving the central block in its original color.",2,2
5e5d5cf6-5ed3-4b37-879f-2c40f27e5553,151,67e8384a.json,"In the input, you should see...a 3x3 grid",The output grid size...6x6 grid,"To make the output, you have to... copy-paste the pattern in each corner. the pattern on the bottoms flips parallel to the top",2,1
7c11e7d2-c2f9-4bc5-96ce-0e37e55b471a,152,681b3aeb.json,"In the input, you should see...two colored shapes.",The output grid size...a small 3x3 grid.,"To make the output, you have to...Place the shapes together in the 3x3 grid so they form a square.",1,1
20dac64d-f61b-4406-9170-2a472a7d3b31,153,6855a6e4.json,"In the input, you should see...two parallel red brackets with a gray shape outside of each bracket. The gray shapes are both different in nature.",The output grid size...remains the same as the input grid size,"To make the output, you have to...leave the red brackets as they are. The gray shapes will move from outside the brackets to in between the brackets. Imagine pulling the gray shape by the edge closest to the bracket and placing that edge four columns over inside the brackets. Then, flip the gray object over like you would flip over a playing card. What you have may result in the two gray shapes now touching, or they may have space between them. There should be one column of black between the red bracket and its correlating gray shape.",1,0
17f99005-9633-4a9d-8dcc-b5200a65a63f,154,68b16354.json,"In the input, you should see...many squares of various colors",The output grid size...is the same as the input grid size,"To make the output, you have to...flip the input grid vertically",2,2
06b852e1-88c2-48a6-ad40-fdb16686d81f,155,694f12f3.json,"In the input, you should see...color pattern 10x10",The output grid size...should be same as input grid size,"To make the output, you have to...fill the pattern by red and blue color surrounded by same color, the one with most internal block should be filled with red color",1,1
bb171700-e202-4121-960f-36ad8803ae2f,156,6a1e5592.json,"In the input, you should see... a red shape at the top and smaller gray shapes below",The output grid size... is the same as the output grid,"To make the output, you have to... copy the input grid. Then move each gray shape up into the space where it fits best into the red shape. Finally turn all of the gray shapes dark blue.",2,2
0c4a5e77-a797-4645-872d-c09f3de19eb2,157,6aa20dc0.json,"In the input, you should see... 3x3 grid and many colored grid.",The output grid size... as same as the input grid.,"To make the output, you have to... see the small 3x3 grid and do a same grid colors for the another two grids.",2,0
1e017b6d-57c5-4e0a-b76c-597f023bff83,158,6b9890af.json,"In the input, you should see...a large red square and a smaller object of a different color.",The output grid size...is identical to the red square.,"To make the output, you have to...fill in the red square with the other colored object.",2,1
57a5e898-4a5b-4b03-a1c0-2ed281a6ff1d,159,6c434453.json,"In the input, you should see...a black background with blue squares, crosses, lines, or L-shapes.",The output grid size...remains the same as the input grid.,"To make the output, you have to...substitute all the blue squares with red crosses. All other shapes (including the existing blue crosses) remain the same in the output grid.",6,4
3f6b6188-0e69-48eb-9cfa-99cde993bc7f,160,6cdd2623.json,"In the input, you should see...a grid of colored squares where four on the edge are the only four squares of a single color",The output grid size...is the same as the input,"To make the output, you have to...you have to...only join the four squares on the edge to the square on the other side. The rest of the grid is black.",1,0
a6e372a7-7054-4757-a506-0fbd5fc86fbf,161,6cf79266.json,"In the input, you should see... a grid filled randomly with a certain color and a black background.",The output grid size... remains the same as the input grid.,"To make the output, you have to... FOR EACH identifiable 3x3 black grid within the random pattern, MAKE a 3x3 dark blue square if APPLICABLE and POSSIBLE",3,3
12f3823c-3047-484b-aa37-75d64a3f8b5e,162,6d0160f0.json,"In the input, you should see...9 squares created by lines of grey",The output grid size...is the same as the input grid size,"To make the output, you have to...take the 3x3 area with a yellow square and move it into a 3x3 area corresponding to where the yellow square is within the 9 squares. Then make all other squares within the other 9 squares black and any grey squares within the 9 squares black. The lines of grey stay.",1,1
f7683d7d-f3fc-424e-b476-91336175690a,163,6d0aefbc.json,"In the input, you should see... a 3 by 3 grid.",The output grid size...changes to 3 by 6,"To make the output, you have to... copy the grid and reflect on the other half",1,1
f844bf55-a8ad-4ab8-b0f8-536a79740c75,164,6d58a25d.json,"In the input, you should see... a shape like the head of an arrow surrounded by black with single blocks of a different color randomly spaced around the outside of the grid.",The output grid size... remains the same,"To make the output, you have to... Using the color of the random blocks around the outside, make a row straight down from the arrow head figure to meet any colored blocks below, extending the new row to the end of the grid",4,2
0ff3e12f-1761-4207-8f6a-e4c0691c68c3,165,6d75e8bb.json,"In the input, you should see...a large section of the same color",The output grid size...is the same size,"To make the output, you have to...fill in the area of the large section with red to make a rectangular section. Background remain the same color",4,2
db366c7e-891c-4140-9658-44cb5ebe13a9,166,6e02f1e3.json,"In the input, you should see...an image with 1 to 3 colors",The output grid size...stays the same,"To make the output, you have to...make a black and gray pattern depending on the number of colors in the input.  Start with an all black grid.  If there is one color, make the top 3 squares gray.  If there are two colors, make a diagonal line from top left to bottom right gray, again 3 pixels.  If there are three colors, make a diagonal line from top right to bottom left gray, again 3 pixels.",1,1
1ccc301e-fb68-406e-9974-4f165f149884,167,6e19193c.json,"In the input, you should see...two L-shapes",The output grid size...is the same size as the input,"To make the output, you have to...from the center of the L-shapes color in squares diagonal different from the L-shape point direction and the first square you draw should be black and the others will be the same color as the shape.",3,0
d45fa171-0a63-4b43-a20b-75e13cffa77c,168,6e82a1ae.json,"In the input, you should see... the grey shapes",The output grid size...same as the input grid.,"To make the output, you have to...count the 4 grid shape and color it with blue in the output and follow the same for 2 grid with green and 3 grid with red.",2,2
df8455c8-1b21-40e3-bb85-7d8b17c41193,169,6ecd11f4.json,"In the input, you should see...a small multi colored grid and a larger rectangle of that is one color plus BLACK",The output grid size...the same as the small multi colored grid,"To make the output, you have to...replicate the smaller grid. Change the colors to black where they are black in the larger rectangle",1,1
2516b087-1d20-46a2-8e68-b54c4881dc3b,170,6f8cd79b.json,"In the input, you should see...  A black grid",The output grid size...Same as the input grid,"To make the output, you have to...You should create light blue border around the black grid.",1,1
07a598c1-04fb-427b-aa82-2d25f9896752,171,6fa7a44f.json,"In the input, you should see...a 3x3 pattern.",The output grid size...is 3x6 vertical grid.,"To make the output, you have to...place the input grid in the top 3x3 space and create a mirror image in the bottom 3x3 space.",2,2
6cb9b89f-9c99-4c72-bb1b-9f6d6d2f42b6,172,72322fa7.json,"In the input, you should see... colored shapes in a black grid and some single colored squares.",The output grid size...should be the same as the original.,"To make the output, you have to...copy the shapes from in the input into the output. Then you must add colored squares around the single squares to finish the shapes so that they match the complete shapes in the grid.",1,0
4c855177-8e81-4e5f-8ab0-df70376026cf,173,72ca375d.json,"In the input, you should see...several different shapes on a large grid",The output grid size...is the size of one of the shapes by itself,"To make the output, you have to...copy one of the shapes by itself and keep the black squares if there are any",1,1
000445d6-7dbd-4306-aeaa-b01b3c37fb67,174,73251a56.json,"In the input, you should see...change the color",The output grid size...size change of grid,"To make the output, you have to...follow the instruction",1,0
47303b23-53eb-46c1-9bc0-d0b1ebd30767,175,7447852a.json,"In the input, you should see... a black background with a red zig-zag pattern.",The output grid size... is the same as the original.,"To make the output, you have to... fill in every third triangle with yellow, starting at the lower-left: yellow, black, black, yellow...",2,1
e0a970cd-de48-4fa7-9ec0-580cb37eb5e1,176,7468f01a.json,"In the input, you should see...a colored shape in a black background.",The output grid size...The grid size is same as the colored shape.,"To make the output, you have to...The output is the colored shape inverted to the side.",1,1
bed7c512-15a5-4458-b781-f20a6411731c,177,746b3537.json,"In the input, you should see...sections with a color pattern",The output grid size...enough space for each color in the design,"To make the output, you have to....keep the pattern but only keep one set",1,0
3da2b0e1-fa4a-4253-8c6e-223ba8aefe45,178,74dd1130.json,"In the input, you should see...2 or 3 colors with a gray squares",The output grid size...remains the same,"To make the output, you have to...rotate it 90 degree clockwise and mirror the result",2,2
55841d43-9b06-4659-8476-f83d3057e9ef,179,75b8110e.json,"In the input, you should see... a 8x8 grid with a black background and 4 distinct quadrants.The top left quadrant should have a yellow pattern, the top right quadrant should have a gray pattern, the bottom left should have a pink pattern, the bottom right should have a brown pattern.",The output grid size... becomes 4x4.,"To make the output, you have to... resize the output grid to 4x4. Copy the top-left (yellow) pattern. Then, superimpose the bottom-right (brown) pattern on top. Then, superimpose the bottom-left pattern (pink) on top. Then, superimpose the top-right (gray) pattern on top.",1,1
789faf96-4a63-4f14-b384-2b7eb429dc23,180,760b3cac.json,"In the input, you should see...two colored objects, one above the other.",The output grid size...is identical.,"To make the output, you have to...create a mirror image of the top shape and place it to the side of that shape.",1,1
f26969a3-512b-4ed6-bf24-c8107174a32b,181,776ffc46.json,"In the input, you should see...shapes surrounded by a complete gray border",The output grid size...stays the same,"To make the output, you have to...change the color of the shape or shapes that match the shape inside the complete gray border so that they are the same color. That is the color of the shape that is identical in size to the one in the gray, will change to the same color as the one in the gray.",2,1
8fc8d830-4280-4c8a-884c-7bed495bb525,182,77fdfe62.json,"In the input, you should see... light blue square surrounded by a dark blue border with colored squares in each far corner.",The output grid size... changes to the size of the interior light blue square,"To make the output, you have to... zoom in to the light blue square and change the light blue squares to the color or the exterior corner color that they are closest to.",2,2
161416b9-5a43-4628-9d5f-9640a123fb5b,183,780d0b14.json,"In the input, you should see...several different colors",The output grid size...that can contain one square of each color,"To make the output, you have to...put each color in one square that match their position in the big picture",1,1
15eb5c1d-61b2-4f47-abd8-298383843795,184,7837ac64.json,"In the input, you should see...color grid which make of square box.",The output grid size...is 3x3,"To make the output, you have to...see four same color corners as one same color grid and color the grid with the corner color",2,0
5ebca81e-8f14-4c03-93e9-56088058d91b,185,794b24be.json,"In the input, you should see...a 3x3 grid with between 1 to 4 blue squares in it.",The output grid size...is the same size as the input grid.,"To make the output, you have to...count the number of blue squares in the input. You will need this same number of squares in the output, but the new squares will become red and will be relocated in the following order until you have used the same number of squares that you counted; First red square goes in top left; second red square (if any) goes if top middle; third red square (if any) goes in top right and fourth red square (if any) goes in middle of grid.",5,3
d4b61356-acdd-4356-b400-f6ca3813eba0,186,7b6016b9.json,"In the input, you should see... a colored grid all the same color with lines one block wide",The output grid size... the same as the input grid,"To make the output, you have to... fill in all holes with red and fill the outside with green",1,1
ed758369-6033-4097-af9f-6c0b3d1a4a10,187,7b7f7511.json,"In the input, you should see...colored squares.",The output grid size...half the size of the input.,"To make the output, you have to...get rid off one half of the input, may it be right, left or bottom half.",1,1
73d6aa43-5c14-457e-b0db-6004f3954ba5,188,7c008303.json,"In the input, you should see...a grid with one light blue row and column. There is a one-colored design in one area and a multi-colored 2x2 grid in another area.",The output grid size...will be 6x6.,"To make the output, you have to...fill in the entire grid with black. You then need to use each of the colors from the 2x2 grid to make the same design as the green design shown in the input grid. The colors must be in the same area shown in the 2x2 area. Each area will be a 3x3 grid, so there are a total of 4 3x3 grids. If the upper right square in the input pair is pink, then the design in the upper right 3x3 grid should be pink. Repeat the color blocks for the other 3x3 areas.",4,2
84371725-a83d-43d9-aa04-13bfbecbf1cc,189,7ddcd7ec.json,"In the input, you should see...original pattern",The output grid size...copy the input size,"To make the output, you have to...follow the instruction",1,0
20ddf834-0ded-4b15-881b-e9c6fa5fdf00,190,7df24a62.json,"In the input, you should see...a 23x23 grid with a black background. There will also be random yellow boxes scattered around. Some of the yellow boxes will be surrounded with blue boxes.",The output grid size...23x23,"To make the output, you have to...copy and paste the exact same grid. Find all instances of the pattern that is surrounded in blue. Everywhere on the grid where there is the exact yellow pattern, surround it with blue. So, on all sides of the yellow boxes (in the same pattern) will be blue boxes (exactly as shown in the yellow/blue pattern).",2,2
c237f2d0-dbd6-4c80-93dd-603f12120996,191,7e0986d6.json,"In the input, you should see...rectangular colored shapes on a black background with blue pixels placed randomly",The output grid size...is the same as the input grid,"To make the output, you have to...replace the blue pixels with pixels of the same color as the majority of surrounding pixels",3,1
